Rango Edad,Cantidad Personas,Rango salarial (SMLV),Genero,Tipo Pension
65-69,116,Entre 4 y 7,M,Sobrevivientes
70-74,109,Entre 4 y 7,M,Sobrevivientes
75-79,86,Entre 4 y 7,M,Sobrevivientes
80-84,56,Entre 4 y 7,M,Sobrevivientes
85-89,26,Entre 4 y 7,M,Sobrevivientes
90-94,5,Entre 4 y 7,M,Sobrevivientes
95-100,4,Entre 4 y 7,M,Sobrevivientes
100-104,0,Entre 4 y 7,M,Sobrevivientes
0-19,33,Entre 4 y 7,F,Sobrevivientes
20-24,31,Entre 4 y 7,F,Sobrevivientes
25-29,8,Entre 4 y 7,F,Sobrevivientes
30-34,19,Entre 4 y 7,F,Sobrevivientes
35-39,39,Entre 4 y 7,F,Sobrevivientes
40-44,81,Entre 4 y 7,F,Sobrevivientes
45-49,180,Entre 4 y 7,F,Sobrevivientes
50-54,326,Entre 4 y 7,F,Sobrevivientes
55-59,635,Entre 4 y 7,F,Sobrevivientes
60-64,971,Entre 4 y 7,F,Sobrevivientes
65-69,"1,319",Entre 4 y 7,F,Sobrevivientes
70-74,"1,268",Entre 4 y 7,F,Sobrevivientes
75-79,"1,153",Entre 4 y 7,F,Sobrevivientes
80-84,691,Entre 4 y 7,F,Sobrevivientes
85-89,317,Entre 4 y 7,F,Sobrevivientes
90-94,107,Entre 4 y 7,F,Sobrevivientes
95-100,31,Entre 4 y 7,F,Sobrevivientes
100-104,1,Entre 4 y 7,F,Sobrevivientes
0-19,12,Entre 7 y 10,M,Sobrevivientes
20-24,14,Entre 7 y 10,M,Sobrevivientes
25-29,5,Entre 7 y 10,M,Sobrevivientes
30-34,2,Entre 7 y 10,M,Sobrevivientes
35-39,1,Entre 7 y 10,M,Sobrevivientes
40-44,2,Entre 7 y 10,M,Sobrevivientes
45-49,2,Entre 7 y 10,M,Sobrevivientes
50-54,8,Entre 7 y 10,M,Sobrevivientes
55-59,15,Entre 7 y 10,M,Sobrevivientes
60-64,15,Entre 7 y 10,M,Sobrevivientes
65-69,18,Entre 7 y 10,M,Sobrevivientes
70-74,19,Entre 7 y 10,M,Sobrevivientes
75-79,21,Entre 7 y 10,M,Sobrevivientes
80-84,8,Entre 7 y 10,M,Sobrevivientes
85-89,9,Entre 7 y 10,M,Sobrevivientes
90-94,1,Entre 7 y 10,M,Sobrevivientes
95-100,0,Entre 7 y 10,M,Sobrevivientes
100-104,0,Entre 7 y 10,M,Sobrevivientes
0-19,13,Entre 7 y 10,F,Sobrevivientes
20-24,10,Entre 7 y 10,F,Sobrevivientes
25-29,3,Entre 7 y 10,F,Sobrevivientes
30-34,2,Entre 7 y 10,F,Sobrevivientes
35-39,5,Entre 7 y 10,F,Sobrevivientes
40-44,16,Entre 7 y 10,F,Sobrevivientes
45-49,45,Entre 7 y 10,F,Sobrevivientes
50-54,56,Entre 7 y 10,F,Sobrevivientes
55-59,146,Entre 7 y 10,F,Sobrevivientes
60-64,221,Entre 7 y 10,F,Sobrevivientes
65-69,333,Entre 7 y 10,F,Sobrevivientes
70-74,326,Entre 7 y 10,F,Sobrevivientes
75-79,259,Entre 7 y 10,F,Sobrevivientes
80-84,195,Entre 7 y 10,F,Sobrevivientes
85-89,79,Entre 7 y 10,F,Sobrevivientes
90-94,20,Entre 7 y 10,F,Sobrevivientes
95-100,5,Entre 7 y 10,F,Sobrevivientes
100-104,1,Entre 7 y 10,F,Sobrevivientes
0-19,2,Entre 10 y 13,M,Sobrevivientes
20-24,5,Entre 10 y 13,M,Sobrevivientes
25-29,1,Entre 10 y 13,M,Sobrevivientes
30-34,0,Entre 10 y 13,M,Sobrevivientes
35-39,1,Entre 10 y 13,M,Sobrevivientes
40-44,4,Entre 10 y 13,M,Sobrevivientes
45-49,2,Entre 10 y 13,M,Sobrevivientes
50-54,0,Entre 10 y 13,M,Sobrevivientes
55-59,1,Entre 10 y 13,M,Sobrevivientes
60-64,6,Entre 10 y 13,M,Sobrevivientes
65-69,9,Entre 10 y 13,M,Sobrevivientes
70-74,12,Entre 10 y 13,M,Sobrevivientes
75-79,1,Entre 10 y 13,M,Sobrevivientes
80-84,4,Entre 10 y 13,M,Sobrevivientes
85-89,1,Entre 10 y 13,M,Sobrevivientes
90-94,1,Entre 10 y 13,M,Sobrevivientes
95-100,0,Entre 10 y 13,M,Sobrevivientes
100-104,0,Entre 10 y 13,M,Sobrevivientes
0-19,0,Entre 10 y 13,F,Sobrevivientes
20-24,4,Entre 10 y 13,F,Sobrevivientes
25-29,0,Entre 10 y 13,F,Sobrevivientes
30-34,3,Entre 10 y 13,F,Sobrevivientes
35-39,1,Entre 10 y 13,F,Sobrevivientes
40-44,4,Entre 10 y 13,F,Sobrevivientes
45-49,15,Entre 10 y 13,F,Sobrevivientes
50-54,21,Entre 10 y 13,F,Sobrevivientes
55-59,59,Entre 10 y 13,F,Sobrevivientes
60-64,100,Entre 10 y 13,F,Sobrevivientes
65-69,124,Entre 10 y 13,F,Sobrevivientes
70-74,163,Entre 10 y 13,F,Sobrevivientes
75-79,145,Entre 10 y 13,F,Sobrevivientes
80-84,87,Entre 10 y 13,F,Sobrevivientes
85-89,24,Entre 10 y 13,F,Sobrevivientes
90-94,12,Entre 10 y 13,F,Sobrevivientes
95-100,0,Entre 10 y 13,F,Sobrevivientes
100-104,1,Entre 10 y 13,F,Sobrevivientes
0-19,4,Entre 13 y 16,M,Sobrevivientes
20-24,0,Entre 13 y 16,M,Sobrevivientes
25-29,0,Entre 13 y 16,M,Sobrevivientes
30-34,0,Entre 13 y 16,M,Sobrevivientes
35-39,0,Entre 13 y 16,M,Sobrevivientes
40-44,0,Entre 13 y 16,M,Sobrevivientes
45-49,0,Entre 13 y 16,M,Sobrevivientes
50-54,2,Entre 13 y 16,M,Sobrevivientes
55-59,1,Entre 13 y 16,M,Sobrevivientes
60-64,3,Entre 13 y 16,M,Sobrevivientes
65-69,2,Entre 13 y 16,M,Sobrevivientes
70-74,0,Entre 13 y 16,M,Sobrevivientes
75-79,1,Entre 13 y 16,M,Sobrevivientes
80-84,1,Entre 13 y 16,M,Sobrevivientes
85-89,0,Entre 13 y 16,M,Sobrevivientes
90-94,0,Entre 13 y 16,M,Sobrevivientes
95-100,0,Entre 13 y 16,M,Sobrevivientes
100-104,0,Entre 13 y 16,M,Sobrevivientes
0-19,0,Entre 13 y 16,F,Sobrevivientes
20-24,1,Entre 13 y 16,F,Sobrevivientes
25-29,0,Entre 13 y 16,F,Sobrevivientes
30-34,2,Entre 13 y 16,F,Sobrevivientes
35-39,1,Entre 13 y 16,F,Sobrevivientes
40-44,3,Entre 13 y 16,F,Sobrevivientes
45-49,2,Entre 13 y 16,F,Sobrevivientes
50-54,6,Entre 13 y 16,F,Sobrevivientes
55-59,20,Entre 13 y 16,F,Sobrevivientes
60-64,35,Entre 13 y 16,F,Sobrevivientes
65-69,48,Entre 13 y 16,F,Sobrevivientes
70-74,56,Entre 13 y 16,F,Sobrevivientes
75-79,36,Entre 13 y 16,F,Sobrevivientes
80-84,25,Entre 13 y 16,F,Sobrevivientes
85-89,3,Entre 13 y 16,F,Sobrevivientes
90-94,1,Entre 13 y 16,F,Sobrevivientes
95-100,1,Entre 13 y 16,F,Sobrevivientes
100-104,0,Entre 13 y 16,F,Sobrevivientes
0-19,0,Mayor a 16,M,Sobrevivientes
20-24,0,Mayor a 16,M,Sobrevivientes
25-29,0,Mayor a 16,M,Sobrevivientes
30-34,0,Mayor a 16,M,Sobrevivientes
35-39,0,Mayor a 16,M,Sobrevivientes
40-44,0,Mayor a 16,M,Sobrevivientes
45-49,1,Mayor a 16,M,Sobrevivientes
50-54,0,Mayor a 16,M,Sobrevivientes
55-59,1,Mayor a 16,M,Sobrevivientes
60-64,0,Mayor a 16,M,Sobrevivientes
65-69,2,Mayor a 16,M,Sobrevivientes
70-74,4,Mayor a 16,M,Sobrevivientes
75-79,1,Mayor a 16,M,Sobrevivientes
80-84,1,Mayor a 16,M,Sobrevivientes
85-89,2,Mayor a 16,M,Sobrevivientes
90-94,0,Mayor a 16,M,Sobrevivientes
95-100,0,Mayor a 16,M,Sobrevivientes
100-104,0,Mayor a 16,M,Sobrevivientes
0-19,0,Mayor a 16,F,Sobrevivientes
20-24,0,Mayor a 16,F,Sobrevivientes
25-29,0,Mayor a 16,F,Sobrevivientes
30-34,0,Mayor a 16,F,Sobrevivientes
35-39,0,Mayor a 16,F,Sobrevivientes
40-44,0,Mayor a 16,F,Sobrevivientes
45-49,2,Mayor a 16,F,Sobrevivientes
50-54,9,Mayor a 16,F,Sobrevivientes
55-59,9,Mayor a 16,F,Sobrevivientes
60-64,15,Mayor a 16,F,Sobrevivientes
65-69,15,Mayor a 16,F,Sobrevivientes
70-74,13,Mayor a 16,F,Sobrevivientes
75-79,7,Mayor a 16,F,Sobrevivientes
80-84,6,Mayor a 16,F,Sobrevivientes
85-89,3,Mayor a 16,F,Sobrevivientes
90-94,1,Mayor a 16,F,Sobrevivientes
95-100,1,Mayor a 16,F,Sobrevivientes
100-104,1,Mayor a 16,F,Sobrevivientes
